demo-entry	npm run test:claims -- --grep "@claim:demo-entry"
demo-isolation	npm run test:claims -- --grep "@claim:demo-isolation"
offline-reload	npm run test:claims -- --grep "@claim:offline-reload"
local-only	npm run test:claims -- --grep "@claim:local-only"
json-csv-export	npm run test:claims -- --grep "@claim:json-csv-export"
encrypted-backup	npm run test:claims -- --grep "@claim:encrypted-backup"
qr-handoff	npm run test:claims -- --grep "@claim:qr-handoff"
qr-contents	npm run test:claims -- --grep "@claim:qr-contents"
print-handoff	npm run test:claims -- --grep "@claim:print-handoff"
free-tools	npm run test:claims -- --grep "@claim:free-tools"
current-medication-list	npm run test:claims -- --grep "@claim:current-medication-list"
dose-state-notes	npm run test:claims -- --grep "@claim:dose-state-notes"
real-record-retention	npm run test:claims -- --grep "@claim:real-record-retention"
regimen-history	npm run test:claims -- --grep "@claim:regimen-history"
stopped-history	npm run test:claims -- --grep "@claim:stopped-history"
no-future-doses	npm run test:claims -- --grep "@claim:no-future-doses"
delete-record	npm run test:claims -- --grep "@claim:delete-record"
